model,regime,feature,group,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
ensemble,few_shot,criterion_type,structure_clarity,34,34,1.0,0.5018608632757603,0.2890148679003103,0.05380333951762528,0.5749999985975378,0.6860479291270258,-0.14852941036224365,0.514663037004659,0.4153109733110822,0.11764705882352941,0.8529411764705882,0.33749999929876884,0.40495551567627136,0.0
ensemble,full,handwriting_density_grp,high,102,102,1.0,0.6394570366175418,0.5581816264848527,0.3562084002754189,0.4833333328658459,0.8428767265680646,0.12450980438905604,0.6445327693611514,0.6291150300387292,0.46078431372549017,0.9411764705882353,0.16593137231527588,0.26998547515120513,0.0
ensemble,full,handwriting_density_grp,low,96,96,1.0,0.8737419945105215,0.7287656719053506,0.479738884099027,0.3333333333333333,0.5472468973568207,0.15104166666666666,0.8826650193781531,0.9038891668730835,0.5416666666666666,0.96875,0.11332465277777777,0.19793539750546932,0.0
ensemble,full,handwriting_density_grp,mid,93,93,1.0,0.6269672479795831,0.5703956617794739,0.32477635161415797,0.6182795698924731,1.0857087274495931,0.06989247311827956,0.6319893453958245,0.629026294604683,0.3978494623655914,0.8817204301075269,0.1835125448028674,0.2978780491049822,0.0
ensemble,full,answer_length_grp,high,99,99,1.0,0.5578343560939584,0.508379071590894,0.2849869760833531,0.5661616156799625,0.9641424722424145,0.11565656613821935,0.5626293750645586,0.5913587756121962,0.3838383838383838,0.9191919191919192,0.18657407383324723,0.2940698850448069,0.0
ensemble,full,answer_length_grp,low,97,97,1.0,0.8714599533379382,0.7412289550967337,0.5360020140986907,0.30670103092783507,0.5366707220610472,0.07989690721649484,0.8748977829177618,0.8914198402116971,0.6082474226804123,0.979381443298969,0.10635738831615121,0.2004148046651757,0.0
ensemble,full,answer_length_grp,mid,95,95,1.0,0.656760181894988,0.5854602338218344,0.3476394849785407,0.5578947368421052,0.9780485403948115,0.15263157894736842,0.6630393842448592,0.6574144773611457,0.4105263157894737,0.8947368421052632,0.1692982456140351,0.2712698910700736,0.0
ensemble,full,subject,data_mining,32,32,1.0,0.8723404255319149,0.7456066945606694,0.446229913473424,0.4453125,0.7991694907840263,0.0859375,0.8747558012233578,0.8771649943412207,0.5625,0.875,0.111328125,0.19979237269600658,0.0
ensemble,full,subject,databases,64,64,1.0,0.7137542259102894,0.49786904300658663,0.20158775163028064,0.37968749925494194,0.5091352959213937,-0.13749999925494194,0.7873449936505892,0.7564901803518946,0.3125,0.984375,0.16315104129413763,0.22510366028643872,0.0
ensemble,full,subject,environment,18,18,1.0,0.07272727272727253,0.423076923076923,0.7777777777777778,0.1388888888888889,0.485912657903775,0.1388888888888889,0.16695677422593647,0.7856742013183862,0.8888888888888888,0.9444444444444444,0.06944444444444445,0.2429563289518875,0.0
ensemble,full,subject,image_processing,28,28,1.0,0.418483904465213,0.29263157894736824,0.2195121951219512,0.42857142857142855,0.5976143046671968,0.2857142857142857,0.6843683598942201,0.6889776518499598,0.42857142857142855,1.0,0.12589285714285714,0.18340772300299368,0.0
ensemble,full,subject,machine_learning,36,36,1.0,0.5999226903749517,0.3216476774758984,0.1062068965517241,0.2986111111111111,0.44682522061515034,0.22916666666666666,0.7234293749746016,0.44681615434922484,0.5,1.0,0.11944444444444444,0.17873008824606013,0.0
ensemble,full,subject,networking,45,45,1.0,0.8360236772246863,0.7147631669932004,0.5051746442432082,0.3055555555555556,0.5540256712864887,-0.15,0.8573820384991175,0.8591333372820246,0.6222222222222222,0.9777777777777777,0.1388888888888889,0.25954019170662396,0.0
ensemble,full,subject,other,40,40,1.0,0.385593220338983,0.2857142857142857,0.2025183630640084,0.4,0.6020797289396148,0.175,0.41994831723354586,0.4098765003534579,0.525,1.0,0.1,0.1505199322349037,0.0
ensemble,full,subject,programming,20,20,1.0,-0.10746606334841635,-0.11183780248528441,-0.08262108262108248,2.125,2.473610721192807,1.05,-0.14942105744270295,-0.13498333672203625,0.05,0.35,0.53125,0.6184026802982018,0.0
ensemble,full,criterion_scale_grp,large_scale,151,151,1.0,0.6445594877493221,0.5441380093065487,0.2640877246420956,0.6605960264900662,1.085157235227026,0.16390728476821192,0.6529211814748432,0.6286433123708463,0.36423841059602646,0.8874172185430463,0.17066777041942607,0.2745332265094509,0.0
ensemble,full,criterion_scale_grp,small_scale,140,140,1.0,0.8007746944631751,0.6722815010190624,0.4899660389008953,0.2789285710879735,0.48570640728876074,0.0639285717691694,0.803548807952174,0.797110605723284,0.5785714285714286,0.9785714285714285,0.13642857125827246,0.2400520775767423,0.0
ensemble,full,criterion_type,application,74,74,1.0,0.3865647281161412,0.4382970109979084,0.36385127874489576,0.7601351351351351,1.3390572520711443,0.22635135135135134,0.39476343369396494,0.4575892256013074,0.4594594594594595,0.8108108108108109,0.23648648648648649,0.37174828922342135,0.0
ensemble,full,criterion_type,definition_theory,126,126,1.0,0.7540642741384758,0.6065672844480258,0.38462694417311594,0.36904761904761907,0.6164092126666485,0.0992063492063492,0.7595603187600517,0.729614214912665,0.48412698412698413,0.9523809523809523,0.12285052910052911,0.21447527073033407,0.0
ensemble,full,criterion_type,numerical,48,48,1.0,0.8717345549090009,0.66190833959429,0.27184466019417486,0.390625,0.580723327698598,0.140625,0.8784421920886055,0.6865186654911783,0.4791666666666667,1.0,0.10243055555555554,0.15095184110614,0.0
ensemble,full,criterion_type,structure_clarity,34,34,1.0,0.7663312177846348,0.5915461624026697,0.3405172413793104,0.3176470574210672,0.48019603752284373,0.06470588375540341,0.7696238221524261,0.7230886961498681,0.47058823529411764,1.0,0.15735294047523948,0.23894683095811253,0.0
ensemble,lora,handwriting_density_grp,high,102,102,1.0,0.6566546636460928,0.5616474921922964,0.3661680092059839,0.4735294112972185,0.8058608838947615,0.021568627918467802,0.6571083127603561,0.6437209402886062,0.47058823529411764,0.9215686274509803,0.19178921545253083,0.3308189994293308,0.0
ensemble,lora,handwriting_density_grp,low,96,96,1.0,0.914514454158711,0.8000613846626037,0.5732791465582932,0.24739583333333334,0.4557217261297366,0.07552083333333333,0.9166664632123662,0.9243635398515067,0.6354166666666666,0.9895833333333334,0.08793402777777777,0.1712245689416658,0.0
ensemble,lora,handwriting_density_grp,mid,93,93,1.0,0.6281102523767184,0.5778331257783313,0.399129746835443,0.6075268817204301,1.0857087274495931,-0.0913978494623656,0.6336752454197636,0.636348497782123,0.4731182795698925,0.8817204301075269,0.1732078853046595,0.29139964735786267,0.0
ensemble,lora,answer_length_grp,high,99,99,1.0,0.5452524190126001,0.5128433929081946,0.35132237312365966,0.57373737325572,0.993615985551213,-0.05858585810420489,0.5463181542582699,0.5619457576500139,0.4444444444444444,0.8888888888888888,0.20542929268846608,0.345625875679722,0.0
ensemble,lora,answer_length_grp,low,97,97,1.0,0.8944063217327758,0.7816060585385822,0.6026117014466779,0.2551546391752577,0.4809515911083887,0.03865979381443299,0.8971016463254542,0.9130932448033194,0.6701030927835051,0.9896907216494846,0.08702749140893472,0.175004090935656,0.0
ensemble,lora,answer_length_grp,mid,95,95,1.0,0.7009111866241342,0.6215460247499576,0.3874067518017449,0.49473684210526314,0.8922178162191939,0.031578947368421054,0.7038971283546414,0.6912956668445192,0.4631578947368421,0.9157894736842105,0.16140350877192983,0.2729462117394634,0.0
ensemble,lora,subject,data_mining,32,32,1.0,0.8825831702544031,0.7582540570789031,0.4767295597484277,0.421875,0.7654655446197431,0.078125,0.8847069479370203,0.8737348397784801,0.59375,0.90625,0.10546875,0.19136638615493579,0.0
ensemble,lora,subject,databases,64,64,1.0,0.8038729891898672,0.6027482086515495,0.27424649358400477,0.32890624925494194,0.4664945730449993,-0.16484374925494194,0.8309657335925035,0.805056095220758,0.40625,1.0,0.13645833296080428,0.19713111595697513,0.0
ensemble,lora,subject,environment,18,18,1.0,0.26952526799387444,0.48734177215189867,0.7857142857142857,0.125,0.4289845892077917,0.125,0.5919654517517855,0.9749960430435691,0.8888888888888888,0.9444444444444444,0.0625,0.21449229460389585,0.0
ensemble,lora,subject,image_processing,28,28,1.0,0.547391623806025,0.5087719298245614,0.4858096828046744,0.35714285714285715,0.6267831705280087,0.17857142857142858,0.5705061540956169,0.5059217002721459,0.6071428571428571,0.9642857142857143,0.10803571428571428,0.18939518397859464,0.0
